ccode;country;year;imports;exports;alt_imports;alt_exports;source1;source2;version
2;United States of America;1870;450;418;-9;-9;2;2;3
2;United States of America;1871;534;475;-9;-9;2;2;3
2;United States of America;1872;632;474;-9;-9;2;2;3
2;United States of America;1873;342.03;626.59;-9;-9;2;2;3
2;United States of America;1874;576;619;-9;-9;2;2;3
2;United States of America;1875;533;545.06;-9;-9;2;2;3
2;United States of America;1876;469;565;-9;-9;2;2;3
2;United States of America;1877;466;632;-9;-9;2;2;3
2;United States of America;1878;453;720;-9;-9;2;2;3
2;United States of America;1879;461;730;-9;-9;2;2;3
2;United States of America;1880;667.95;835.63;-9;-9;2;2;3
2;United States of America;1881;654;919;-9;-9;2;2;3
2;United States of America;1882;733;768;-9;-9;2;2;3
2;United States of America;1883;734;841;-9;-9;2;2;3
2;United States of America;1884;683;767;-9;-9;2;2;3
2;United States of America;1885;577.52;726.68;-9;-9;2;2;3
2;United States of America;1886;653;710;-9;-9;2;2;3
2;United States of America;1887;709;742;-9;-9;2;2;3
2;United States of America;1888;739;724;-9;-9;2;2;3
2;United States of America;1889;763;779;-9;-9;2;2;3
2;United States of America;1890;789.31;845.29;-9;-9;2;2;3
2;United States of America;1891;863;907;-9;-9;2;2;3
2;United States of America;1892;847;1063;-9;-9;2;2;3
2;United States of America;1893;889;889;-9;-9;2;2;3
2;United States of America;1894;668;942;-9;-9;2;2;3
2;United States of America;1895;779.72;863.2;-9;-9;2;2;3
2;United States of America;1896;809;944;-9;-9;2;2;3
2;United States of America;1897;796;1113;-9;-9;2;2;3
2;United States of America;1898;647;1286;-9;-9;2;2;3
2;United States of America;1899;728;1283;-9;-9;2;2;3
2;United States of America;1900;823.17;1460.46;-9;-9;2;2;3
2;United States of America;1901;859;1552;-9;-9;2;2;3
2;United States of America;1902;931;1432;-9;-9;2;2;3
2;United States of America;1903;1050;1464;-9;-9;2;2;3
2;United States of America;1904;1019;1510;-9;-9;2;2;3
2;United States of America;1905;1226.56;1743.86;-9;-9;2;2;3
2;United States of America;1906;1271;1810;-9;-9;2;2;3
2;United States of America;1907;1458;1938;-9;-9;2;2;3
2;United States of America;1908;1228;1919;-9;-9;2;2;3
2;United States of America;1909;1326;1719;-9;-9;2;2;3
2;United States of America;1910;1527.22;2049.32;-9;-9;2;2;3
2;United States of America;1911;1573;2114;-9;-9;2;2;3
2;United States of America;1912;1700;2269;-9;-9;2;2;3
2;United States of America;1913;1792.59;2484.01;-9;-9;2;2;3
2;United States of America;1914;1924;2420;-9;-9;2;2;3
2;United States of America;1915;1703;2820;-9;-9;2;2;3
2;United States of America;1916;2424;5554;-9;-9;2;2;3
2;United States of America;1917;3005;6318;-9;-9;2;2;3
2;United States of America;1918;3105;6402;-9;-9;2;2;3
2;United States of America;1919;3993;8159;-9;-9;2;2;3
2;United States of America;1920;5278.48;8228.01;-9;-9;2;2;3
2;United States of America;1921;2572;4537;-9;-9;2;2;3
2;United States of America;1922;3184;3895;-9;-9;2;2;3
2;United States of America;1923;3866;4239;-9;-9;2;2;3
2;United States of America;1924;3684;4701;-9;-9;2;2;3
2;United States of America;1925;4292;5009;-9;-9;2;2;3
2;United States of America;1926;4501;4901;-9;-9;2;2;3
2;United States of America;1927;4240;4941;-9;-9;2;2;3
2;United States of America;1928;4159;5215;-9;-9;2;2;3
2;United States of America;1929;4463;5324;-9;-9;2;2;3
2;United States of America;1930;3061;3843;-9;-9;2;2;3
2;United States of America;1931;2119;2451;-9;-9;2;2;3
2;United States of America;1932;1342;1625;-9;-9;2;2;3
2;United States of America;1933;1510;1694;-9;-9;2;2;3
2;United States of America;1934;1758;2149;-9;-9;2;2;3
2;United States of America;1935;2047;2283;-9;-9;2;2;3
2;United States of America;1936;2605;2468;-9;-9;2;2;3
2;United States of America;1937;3176;3361;-9;-9;2;2;3
2;United States of America;1938;1960;3094;-9;-9;2;2;3
2;United States of America;1939;2403;3192;-9;-9;2;2;3
2;United States of America;1940;2684;4025;-9;-9;2;2;3
2;United States of America;1941;3392;5153;-9;-9;2;2;3
2;United States of America;1942;2797;8081;-9;-9;2;2;3
2;United States of America;1943;3409;12996;-9;-9;2;2;3
2;United States of America;1944;3952;14386;-9;-9;2;2;3
2;United States of America;1945;4186;9897;-9;-9;2;2;3
2;United States of America;1946;5000;9775;-9;-9;2;2;3
2;United States of America;1947;5824;15369;-9;-9;2;2;3
2;United States of America;1948;7717;12478;-9;-9;1;1;3
2;United States of America;1949;7163;11920;-9;-9;1;1;3
2;United States of America;1950;9145;10227;-9;-9;1;1;3
2;United States of America;1951;11401.8;14924;-9;-9;1;1;3
2;United States of America;1952;11228;14952;-9;-9;1;1;3
2;United States of America;1953;11469;15337;-9;-9;1;1;3
2;United States of America;1954;10675;14699;-9;-9;1;1;3
2;United States of America;1955;11857;15418;-9;-9;1;1;3
2;United States of America;1956;13348;18870;-9;-9;1;1;3
2;United States of America;1957;13879;20609;-9;-9;1;1;3
2;United States of America;1958;14491.6;17841.2;-9;-9;1;1;3
2;United States of America;1959;16780;17569;-9;-9;1;1;3
2;United States of America;1960;16169.7;20532;-9;-9;1;1;3
2;United States of America;1961;15735.6;20954;-9;-9;1;1;3
2;United States of America;1962;17521.9;21614;-9;-9;1;1;3
2;United States of America;1963;18376.9;23272;-9;-9;1;1;3
2;United States of America;1964;20079.5;26477;-9;-9;1;1;3
2;United States of America;1965;22914.9;27370.8;-9;-9;1;1;3
2;United States of America;1966;27732.3;30400.4;-9;-9;1;1;3
2;United States of America;1967;28753.3;31557.4;-9;-9;1;1;3
2;United States of America;1968;35367.3;34557.6;-9;-9;1;1;3
2;United States of America;1969;38407.9;37950;-9;-9;1;1;3
2;United States of America;1970;42698.5;43204.8;-9;-9;1;1;3
2;United States of America;1971;48738.1;44128.6;-9;-9;1;1;3
2;United States of America;1972;59326;49793.6;-9;-9;1;1;3
2;United States of America;1973;74275.6;71407.7;-9;-9;1;1;3
2;United States of America;1974;110088;98564.7;-9;-9;1;1;3
2;United States of America;1975;105498;107648;-9;-9;1;1;3
2;United States of America;1976;132214;115074;-9;-9;1;1;3
2;United States of America;1977;160427;121306;-9;-9;1;1;3
2;United States of America;1978;186047;143762;-9;-9;1;1;3
2;United States of America;1979;222332;182006;-9;-9;1;1;3
2;United States of America;1980;257098;220781;-9;-9;1;1;3
2;United States of America;1981;273481;233914;-9;-9;1;1;3
2;United States of America;1982;254934;212452;-9;-9;1;1;3
2;United States of America;1983;269944;200663;-9;-9;1;1;3
2;United States of America;1984;341241;218070;-9;-9;1;1;3
2;United States of America;1985;361692;213335;-9;-9;1;1;3
2;United States of America;1986;387136;217451;-9;-9;1;1;3
2;United States of America;1987;424125;252998;-9;-9;1;1;3
2;United States of America;1988;459800;319452;-9;-9;1;1;3
2;United States of America;1989;493355;363875;-9;-9;1;1;3
2;United States of America;1990;517020;393106;-9;-9;1;1;3
2;United States of America;1991;509321;421859;-9;-9;1;1;3
2;United States of America;1992;552613;447389;-9;-9;1;1;3
2;United States of America;1993;603009;465944;-9;-9;1;1;3
2;United States of America;1994;689372;512480;-9;-9;1;1;3
2;United States of America;1995;771093;583552;-9;-9;1;1;3
2;United States of America;1996;817851;623053;-9;-9;1;1;3
2;United States of America;1997;898711;687694;-9;-9;1;1;3
2;United States of America;1998;944692;680493;-9;-9;1;1;3
2;United States of America;1999;1048480;690778;-9;-9;1;1;3
2;United States of America;2000;1238240;772124;-9;-9;1;1;3
2;United States of America;2001;1180160;731002;-9;-9;1;1;3
2;United States of America;2002;1202410;693226;-9;-9;1;1;3
